
0.04056	-142122	-110714
0.0406848	-262754	92773
0.0408096	-5981	194850
0.0409344	131486	-80182
0.0410592	-73935	-198716
0.041184	-88780	-19645
0.0413088	107333	-52631
0.0414336	37413	-201522
0.0415584	-88717	-41609
0.0416832	96469	112130
0.041808	188961	-37792
0.0419328	-6398	-48205
0.0420576	-17838	172908
0.0421824	150946	150408
0.0423072	56342	-9868
0.042432	-96473	71277
0.0425568	-11123	101452
0.0426816	-54427	-86356
0.0428064	-275964	-48738
0.0429312	-176288	165239
0.043056	101938	30175
0.0431808	31018	-228272
0.0433056	-113163	-139741
0.0434304	39073	-16612
0.0435552	142173	-119500
0.04368	47901	-99470
0.0438048	108501	43718
0.0439296	184234	-28377
0.0440544	-26640	-43293
0.0441792	-106399	245762
0.044304	151064	316198
0.0444288	165525	6825
0.0445536	-151290	-64090
0.0446784	-204192	128313
0.0448032	-46689	50639
0.044928	-132711	-130264
0.0450528	-204091	-45811
0.0451776	-16456	-21999
0.0453024	40248	-197788
0.0454272	-66160	-148399
0.045552	79439	31433
0.0456768	270194	-62612
0.0458016	140461	-152316
0.0459264	39490	43175
0.0460512	157168	123764
0.046176	68963	12479
0.0463008	-150623	145836
0.0464256	-42509	332490
0.0465504	106326	128771
0.0466752	-113535	-93181
0.0468	-269389	28042
0.0469248	-94285	57779
0.0470496	-37953	-158264
0.0471744	-142938	-181270
0.0472992	-31310	-85251
0.047424	93120	-189553
0.0475488	-21954	-176849
0.0476736	40164	93262
0.0477984	330461	108999
0.0479232	287215	-123104
0.048048	-9578	-33662
0.0481728	-12491	228187
0.0482976	90885	176595
0.0484224	-63896	74856
0.0485472	-163382	167904
0.048672	-68828	116035
0.0487968	-144973	-66165
0.0489216	-254663	-9632
0.0490464	-54483	41033
0.0491712	92441	-206482
0.049296	-71721	-314794
0.0494208	-78912	-97668
0.0495456	156772	-48955
0.0496704	149411	-157642
0.0497952	27068	15630
0.04992	186321	207791
0.0500448	283605	63568
0.0501696	26698	-8209
0.0502944	-103843	206744
0.0504192	23474	225890
0.050544	-43168	26124
0.0506688	-223236	27711
0.0507936	-160173	70723
0.0509184	-111639	-92904
0.0510432	-217597	-116964
0.051168	-82846	28157
0.0512928	195891	-113177
0.0514176	109967	-341299
0.0515424	-73124	-171073
0.0516672	93434	74256
0.051792	246597	-567
0.0519168	104141	-25015
0.0520416	52091	158738
0.0521664	129723	160496
0.0522912	-13569	64971
0.052416	-141018	197624
0.0525408	6147	219165
0.0526656	12084	-63490
0.0527904	-253369	-144903
0.0529152	-254210	42538
0.05304	-25422	-14609
0.0531648	-34029	-199579
0.0532896	-95072	-102835
0.0534144	113032	-17755
0.0535392	199475	-175295
0.053664	35339	-149217
0.0537888	66050	90242
0.0539136	231318	77327
0.0540384	105989	-35935
0.0541632	-61467	113686
0.054288	20091	212730
0.0544128	3130	74070
0.0545376	-171503	92119
0.0546624	-84713	198981
0.0547872	65534	-20690
0.054912	-129746	-239516
0.0550368	-279102	-69345
0.0551616	-42634	49442
0.0552864	101061	-145218
0.0554112	-22449	-191959
0.055536	22276	-25808
0.0556608	163302	-40718
0.0557856	81834	-72682
0.0559104	54290	110941
0.0560352	225359	130027
0.05616	139647	-75598
0.0562848	-150832	6245
0.0564096	-117954	253224
0.0565344	57566	153514
0.0566592	-68115	-28503
0.056784	-178787	55270
0.0569088	-27149	55140
0.0570336	-22602	-147725
0.0571584	-165479	-123896
0.0572832	-40996	16492
0.057408	132999	-118456
0.0575328	3780	-219880
0.0576576	-54320	-14529
